,ticker,bought_date,trade_size,bought_price,price,atr,stop_loss,dynamic_stop_loss,profit_exit,dynamic_profit_exit,trade_type,sell_date
80,NEE,2019-07-10,1.0,209.47999572753906,209.36000061035156,2.968553337530992,206.51144239000806,209.46147872274827,218.38565574013205,221.05556627316145,sell,2019-07-22
81,LW,2019-07-23,4.0,63.65999984741211,63.65999984741211,1.5600897436581143,62.099910103754,62.099910103754,68.34026907838646,68.34026907838646,buy,
82,WMT,2019-07-24,8.0,112.0,112.0,1.3139627845752808,110.68603721542472,110.68603721542472,115.94188835372584,115.94188835372584,buy,
83,CBOE,2019-07-08,8.0,110.62000274658203,111.6500015258789,2.3920268964658997,108.22797585011614,112.79498489403505,117.79608343597972,121.25505996633234,sell,2019-07-24
84,MKTX,2019-07-09,1.0,342.8999938964844,334.25,8.831880330405573,334.0681135660788,365.0304257960256,369.3956348877011,396.10867378379817,sell,2019-07-24
85,NEE,2019-07-25,4.0,207.6300048828125,207.6300048828125,2.9450568066904586,204.68494807612205,204.68494807612205,216.46517530288386,216.46517530288386,buy,
86,WU,2019-07-25,7.0,20.84000015258789,20.84000015258789,0.28653621605952967,20.55346393652836,20.55346393652836,21.69960880076648,21.69960880076648,buy,
87,NEM,2019-06-12,106.0,35.470001220703125,38.25,0.6918278750154553,34.77817334568767,39.11768054326923,37.54548484574949,42.24696447370793,sell,2019-07-25
88,CBOE,2019-07-29,1.0,110.44999694824219,110.44999694824219,2.332405177049254,108.11759177119293,108.11759177119293,117.44721247938995,117.44721247938995,buy,
89,WMT,2019-07-24,8.0,112.0,110.37999725341797,1.3139627845752808,110.68603721542472,111.73004966319824,115.94188835372584,116.88983758267089,sell,2019-07-31
90,NEE,2019-07-25,4.0,207.6300048828125,207.1699981689453,2.9450568066904586,204.68494807612205,208.53074739049234,216.46517530288386,219.92777735977296,sell,2019-07-31
91,GM,2019-07-19,18.0,39.47999954223633,39.0099983215332,0.706727653576266,38.77327188866006,40.14760685578733,41.600182502965126,43.07718370509894,sell,2019-08-05
92,HSY,2019-07-22,2.0,147.05999755859375,149.1199951171875,2.0455081172294975,145.01448944136425,150.18034407208347,153.19652191028223,161.3789506939058,sell,2019-08-05
93,LW,2019-07-23,4.0,63.65999984741211,65.36000061035156,1.5600897436581143,62.099910103754,65.91848976126735,68.34026907838646,72.4045343783073,sell,2019-08-05
94,CME,2019-08-06,17.0,208.3800048828125,208.3800048828125,4.23823139438111,204.1417734884314,204.1417734884314,221.09469906595584,221.09469906595584,buy,
